AcresBurned,RunSumAcresBurned,ArchiveYear,Counties,Started,Extinguished,Fatalities,Injuries,Latitude,Longitude,Location,MajorIncident,Name,PersonnelInvolved,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,WaterTenders
3166,11800,2013,Riverside,2013-05-01,2013-05-04,Unknown,2,34.288877,-116.941311,Mias Canyon and Bluff Road in Banning,TRUE,Summit Fire,726,,1,,,7
217,12017,2013,Glenn,2013-05-01,2013-05-05,Unknown,,39.514139,-122.560862,2 miles south of the community of Elk Creek,TRUE,306 Fire,221,,Unknown,,,5
24251,36268,2013,Ventura,2013-05-02,2013-05-11,Unknown,10,0,0,"Southbound Highway 101 at Camarillo Springs Road, Camarillo",TRUE,Springs Fire,2167,6,10,,,11
354,36622,2013,San Benito,2013-05-03,2013-05-03,Unknown,,37.160346,-120.937494,"Highway 25 and Horizon Rd, Community of Tres ",FALSE,Tres Pinos Fire,,,Unknown,,,
510,37132,2013,Riverside,2013-05-04,2013-05-05,Unknown,,33.894055,-116.855019,"Highway 243, south of Banning and north of Pine Cove",FALSE,Gorgonio Fire,,,Unknown,,,
15,37147,2013,Madera,2013-05-12,2013-05-13,Unknown,,0,0,Off Range Circle Dr in Yosemite Lake,FALSE,Ranger Fire,,,Unknown,,,
75,37222,2013,San Bernardino,2013-05-13,2013-05-15,Unknown,1,34.1834,-117.4408,"I-15 at Sierra Ave, near Lytle Creek",TRUE,Lytle Fire,292,,1,,,13
4346,41568,2013,Kern,2013-05-15,2013-05-21,Unknown,4,34.7861,-118.9411,"South of Frazier Mountain Park Rd, South of Frazier Park",TRUE,Grand Fire,847,,Unknown,,,12
40,41608,2013,Riverside,2013-05-16,2013-05-17,Unknown,,33.655638,-116.161201,"Avenue 54 and Tyler Street, near the community of Coachella",TRUE,54 Fire,65,,Unknown,,,
712,42320,2013,Los Angeles,2013-05-17,2013-05-18,Unknown,,34.49149,-118.610044,I-5 Southbound at Lake Hughes Road,FALSE,Lake Fire,,,Unknown,,,
91,42411,2013,Madera,2013-05-19,2013-05-20,Unknown,,37.1927,-119.7917,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,TRUE,Lilly 2 Fire,,,1,,,2
25,42436,2013,Riverside,2013-05-20,2013-05-20,Unknown,,33.96201,-116.907213,Off Sunset Ave & Mesa St in Banning,FALSE,Cherry Fire,,,Unknown,,,
35,42471,2013,San Luis Obispo,2013-05-20,2013-05-20,Unknown,,35.49864,-120.91375,Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos,FALSE,Cottontail Fire,,,Unknown,,,
90,42561,2013,Riverside,2013-05-21,2013-05-21,Unknown,,33.9582,-116.6534,Off Whitewater Canyon Road in Whitewater,FALSE,Water Fire,,,Unknown,,,
150,42711,2013,Butte,2013-05-22,2013-05-22,Unknown,,0,0,"Neal Road, southwest of Paradise",TRUE,Neal Fire,60,,Unknown,,,4
100,42811,2013,San Diego,2013-05-22,2013-05-23,Unknown,,32.564465,-116.900368,Off Alta Rd in the Otay Mesa area,FALSE,Border Fire,,,Unknown,,,
2781,45592,2013,San Diego,2013-05-23,2013-05-26,Unknown,5,33.12111,-116.52579,"San Felipe Road, north of Highway 78, East of Julian",TRUE,San Felipe Fire,911,,Unknown,,,26
124,45716,2013,Riverside,2013-05-25,2013-05-25,Unknown,,33.963591,-117.187934,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",FALSE,Smiley Fire,,,Unknown,,,
50,45766,2013,San Luis Obispo,2013-05-25,2013-05-25,Unknown,,35.5123,-120.6368,"Homestead Rd & Hwy 41, northeast of Atascadero ",FALSE,Homestead Fire,,,Unknown,,,
1271,47037,2013,San Diego,2013-05-26,2013-05-31,Unknown,6,33.04458,-116.5209,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",TRUE,General Fire,1217,,Unknown,,,27
1984,49021,2013,Santa Barbara,2013-05-27,2013-05-30,Unknown,,34.55048,-119.82429,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",FALSE,White Fire,,,Unknown,,,
149,49170,2013,Los Angeles,2013-05-28,2013-05-29,Unknown,,34.419284,-118.58688,off Magic Mtn Parkway in Valencia,FALSE,Magic Fire,,,Unknown,,,
170,49340,2013,Santa Barbara,2013-05-28,2013-05-29,Unknown,,34.611824,-120.074655,"Hwy 246 and Meadowvale, East of Solvang ",FALSE,Olive Fire,,,Unknown,,,
303,49643,2013,San Joaquin,2013-05-30,2013-05-30,Unknown,,38.04993,-120.90325,off North Shelton Rd in the Linden Peters area,FALSE,Shelton Fire,,,Unknown,,,
30274,79917,2013,Los Angeles,2013-05-30,2013-06-08,Unknown,,34.585595,-118.423176,Angeles National Forest,FALSE,Powerhouse Fire,,,Unknown,,,
500,80417,2013,San Luis Obispo,2013-06-01,2013-06-03,Unknown,,35.15832,-120.05131,"west of the Carrizo Plain, Los Padres National Forest",FALSE,Branch Fire,,,Unknown,,,
100,80517,2013,Tuolumne,2013-06-02,2013-06-02,Unknown,,37.91529,-120.33313,off Lime Kiln Rd,FALSE,Murphy Fire,,,Unknown,,,
298,80815,2013,Butte,2013-06-03,2013-06-03,Unknown,,39.434183,-121.576804,Palermo Road and Lone Tree Road near Palermo,TRUE,Lone Fire,,,9,,,4
124,80939,2013,Merced,2013-06-04,2013-06-05,Unknown,,37.03776,-121.006939,Hwy 152 in San Luis Creek Reservoir,FALSE,152 Fire,,,Unknown,,,
30,80969,2013,Lake,2013-06-05,2013-06-06,Unknown,,38.99233,-122.703193,Lakeshore Drive and Patterson Drive in Clearlake Oaks,FALSE,Lake Fire,,,Unknown,,,
240,81209,2013,Alameda,2013-06-08,2013-06-08,Unknown,,37.775057,-121.737213,"off Vasco Road & North Vasco Road, north of Livermore",FALSE,Vasco Fire,,,Unknown,,,
42,81251,2013,Riverside,2013-06-08,2013-06-08,Unknown,,33.96936,-117.1265,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",FALSE,Viper Fire,,,Unknown,,,
0,81251,2013,Riverside,2013-06-09,2013-06-09,Unknown,,33.99647,-116.84137,"Hathaway Canyon area, northeast of Banning",FALSE,Hathaway Fire,,,Unknown,,,
28,81279,2013,Sonoma,2013-06-10,2013-06-14,Unknown,,38.4229,-122.0437,"throughout Sonoma, Solano, Lake & Colusa Counties",TRUE,Sonoma-Lake-Napa Unit Lightning Fires,,,Unknown,,,
226,81505,2013,Glenn,2013-06-12,2013-06-17,Unknown,,0,0,15 miles northwest of Elk Creek off County Road 306,FALSE,Daves Fire,,,Unknown,,,
75,81580,2013,Madera,2013-06-12,2013-06-14,Unknown,,37.169379,-119.75636,Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold,TRUE,Revis Fire,221,,Unknown,,,13
96,81676,2013,Amador,2013-06-12,2013-06-13,Unknown,,38.27783,-120.966016,"Roadrunner Drive, south of Ione",FALSE,Roadrunner Fire,,,Unknown,,,
237,81913,2013,Placer,2013-06-13,2013-06-13,Unknown,,38.729297,-121.380862,"PFE Road and Watt Avenue, West Roseville",FALSE,PFE Fire,,,Unknown,,,
108,82021,2013,Fresno,2013-06-13,2013-06-13,Unknown,,36.772425,-119.628389,"Clinton and Highland, East of Fresno",FALSE,Clinton Fire,,,Unknown,,,
35,82056,2013,Fresno,2013-06-13,2013-06-13,Unknown,,36.763367,-119.558244,"off McKinley Ave & Academy Ave, north of Sanger ",FALSE,Michelle Fire,,,Unknown,,,
40,82096,2013,Riverside,2013-06-14,2013-06-15,Unknown,,34.001745,-117.302057,"Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove",FALSE,Palmyrita Fire,,,Unknown,,,
1708,83804,2013,Mariposa,2013-06-16,2013-06-26,Unknown,1,37.58202,-119.91071,"Off Carstens Road, east of 140 in the Midpines area.",TRUE,Carstens Fire,112,,Unknown,,,4
482,84286,2013,Madera,2013-06-16,2013-06-18,Unknown,,37.015575,-119.78106,"off Hwy 41 & Road 145, northwest of Friant ",TRUE,Rolling Fire,,,1,,,
46,84332,2013,Fresno,2013-06-17,2013-06-19,Unknown,,37.03087,-119.463757,"Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry",FALSE,Sierra Fire,,,Unknown,,,
124,84456,2013,Solano,2013-06-18,2013-06-18,Unknown,,38.08744,-122.13802,"Off Lake Herman Rd, west of Hwy 680 in Benicia",FALSE,California Fire,,,Unknown,,,
25,84481,2013,Lake,2013-06-20,2013-06-20,Unknown,,38.98058,-122.81796,"Off Konocti Rd & Oak Hills Ln, east of Kelseyville",FALSE,Mount Fire,,,Unknown,,,
150,84631,2013,Fresno,2013-06-25,2013-06-25,Unknown,,36.7218,-119.2248,off Bronco Lane in Squaw Valley,FALSE,George Fire,,,Unknown,,,
534,85165,2013,San Bernardino,2013-06-28,2013-07-01,Unknown,,34.071556,-117.048397,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",TRUE,Mills Fire,282,1,0,,,29
105,85270,2013,Monterey,2013-06-29,2013-06-29,Unknown,,36.1531,-120.8973,"off Hwy 198, 10 miles east of King City",FALSE,Freeman Fire,,,Unknown,,,
492,85762,2013,Contra Costa,2013-07-01,2013-07-01,Unknown,,37.96866,-121.91453,Kirker Pass Road south of Pittsburg,FALSE,Kirker Fire,,,Unknown,,,
274,86036,2013,Contra Costa,2013-07-01,2013-07-01,Unknown,,39.90465,-121.74367,off Concord Ave & Vineyard Parkway in Brentwood,FALSE,Concord Fire,,,Unknown,,,
502,86538,2013,Modoc,2013-07-03,2013-07-05,Unknown,,41.2415,-121.035,5 miles northwest of Aiden,FALSE,Fox Fire (formally 3-7 Fire),,,Unknown,,,
200,86738,2013,Tehama,2013-07-04,2013-07-04,Unknown,,40.012398,-122.079871,"Tehama-Vina Rd and Sherman Rd, Los Molinos",FALSE,Vina Fire,,,Unknown,,,
50,86788,2013,Alameda,2013-07-04,2013-07-04,Unknown,,37.7393,-121.5869,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",FALSE,Grant Fire,,,Unknown,,,
7055,93843,2013,San Diego,2013-07-06,2013-07-15,Unknown,12,32.95435,-116.47381,"off Sunrise Hwy, 9 miles southeast of Julian",TRUE,Chariot Fire,2147,9,149,,,24
38,93881,2013,Alameda,2013-07-06,2013-07-06,Unknown,,37.74241,-121.86216,off Fallon Rd & Camino Tassajara near Dublin ,FALSE,Fallon Fire,,,Unknown,,,
85,93966,2013,San Luis Obispo,2013-07-07,2013-07-07,Unknown,,35.62743,-120.83417,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",FALSE,Adelaida Fire,,,Unknown,,,
73,94039,2013,Yuba,2013-07-08,2013-07-08,Unknown,,39.206,-121.31634,"off Highway 20 and McGanney Lane, west of Smartsville",FALSE,McGanney Fire,,,Unknown,,,
572,94611,2013,El Dorado,2013-07-08,2013-07-11,Unknown,,38.774,-120.298,"Off Hwy 50 at 30 Mile Tract, Kyburz",FALSE,Kyburz Fire,,,Unknown,,,
43,94654,2013,Shasta,2013-07-09,2013-07-09,Unknown,,40.373,-122.7338,off Fiddler,FALSE,Fiddler Fire,,,Unknown,,,
50,94704,2013,Santa Clara,2013-07-12,2013-07-12,Unknown,,37.1438,-121.7804,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",FALSE,Uvas Fire,,,Unknown,,,
150,94854,2013,Stanislaus,2013-07-12,2013-07-13,Unknown,,37.436,-121.1955,"off Diablo Grande Parkway, west of I-5, southwest of Patterson",FALSE,Diablo Fire,,,Unknown,,,
27531,122385,2013,Riverside,2013-07-15,2013-07-30,Unknown,,33.7095,-116.72885,Hwy 243 & Hwy 74 near Mountain Center,FALSE,Mountain Fire,,,Unknown,,,
150,122535,2013,Riverside,2013-07-16,2013-07-17,Unknown,,33.990128,-117.164997,"Redlands Boulevard and San Timoteo Canyon Road, north of Moreno Valley",FALSE,Redlands Fire,,,Unknown,,,
213,122748,2013,Monterey,2013-07-17,2013-07-17,Unknown,,0,0,"Tassajara Hot Springs, near the Zen Center",FALSE,Tassajara Fire,,,Unknown,,,
712,123460,2013,Kern,2013-07-19,2013-07-22,Unknown,5,34.882,-118.9194,West side of Interstate 5 in Lebec (Kern County),TRUE,Rancho Fire,502,,Unknown,,,20
195,123655,2013,Tehama,2013-07-19,2013-07-19,Unknown,,39.961309,-122.330879,West of Corning,FALSE,Paskenta Fire,,,Unknown,,,
163,123818,2013,El Dorado,2013-07-19,2013-07-19,Unknown,,38.63987,-121.08438,South of Hwy 50 at the El Dorado and Sacramento County line,FALSE,50 Fire,,,Unknown,,,
163,123981,2013,Sacramento,2013-07-19,2013-07-19,Unknown,,38.63987,-121.08438,South of Hwy 50 at the El Dorado and Sacramento County line,FALSE,50 Fire,,,Unknown,,,
40,124021,2013,Riverside,2013-07-19,2013-07-20,Unknown,,33.9634,-117.2508,Heacock St & Sandy Glade Ave in Moreno Valley,FALSE,Heacock Fire,,,Unknown,,,
15,124036,2013,Riverside,2013-07-19,2013-07-19,Unknown,,33.94528,-117.09306,"Hwy 60 east of Gilman Springs Rd, east of Moreno Valley",FALSE,Gilman Fire,,,Unknown,,,
31,124067,2013,Calaveras,2013-07-22,2013-07-23,Unknown,,37.965364,-120.696362,"near the 4500 block of Chuckwagon Drive, Copperopolis",FALSE,Chuckwagon Fire,,,Unknown,,,
22992,147059,2013,Fresno,2013-07-22,2013-09-24,Unknown,,37.279,-119.318,Seven miles north of Big Creek,FALSE,Aspen Fire,,,Unknown,,,
612,147671,2013,Kern,2013-07-23,2013-07-25,Unknown,,34.90327,-118.93388,West side of Interstate 5 at Tejon Ranch,FALSE,Water Fire,,,Unknown,,,
45,147716,2013,Mendocino,2013-07-23,2013-07-23,Unknown,,38.980846,-123.067671,"Hwy 175 & Pratt Ranch Road, East of Hopland ",FALSE,Pratt Fire,,,Unknown,,,
75,147791,2013,San Bernardino,2013-07-25,2013-07-26,Unknown,,34.316,-117.352, Hwy 138 west of Hwy 173,FALSE,Silverwood Fire,,,Unknown,,,
158,147949,2013,Sonoma,2013-07-26,2013-07-26,Unknown,,38.17693,-122.51253,"Off Lakeville Hwy, 6 miles SE of Petaluma",FALSE,Lakeville Fire,,,Unknown,,,
25,147974,2013,San Diego,2013-07-28,2013-07-28,Unknown,,32.612773,-116.707335,Barrett Lake Road and Highway 94,FALSE,Flume Fire,,,Unknown,,,
40,148014,2013,Siskiyou,2013-07-31,2013-07-31,Unknown,,0,0,"Siskiyou Wildlife Refuge, 5 miles SE of Montague",FALSE,Trout Fire,,,Unknown,,,
14754,162768,2013,Siskiyou,2013-07-31,2013-08-31,Unknown,,41.32,-123.176,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",FALSE,Salmon River Complex,,,Unknown,,,
92,162860,2013,Butte,2013-08-01,2013-08-04,Unknown,2,39.6612,-121.50354,Near Rocky Peak - North Fork Lake Oroville near Cherokee,TRUE,Branch Fire,80,,Unknown,,,3
0,162860,2013,Humboldt,2013-08-03,2013-08-03,Unknown,,41.333,-123.376,"10 miles east of Somes Bar, California",FALSE,Orleans Complex,,,Unknown,,,
60,162920,2013,Riverside,2013-08-04,2013-08-04,Unknown,,33.91027,-116.99895,"near Mt. David, south of Beaumont",FALSE,Relay Fire,,,Unknown,,,
34,162954,2013,Shasta,2013-08-04,2013-08-05,Unknown,,0,0,"Honey Bee Road, West of Redding",FALSE,Honey Fire,,,Unknown,,,
1070,164024,2013,Tuolumne,2013-08-05,2013-08-14,Unknown,,38.25108,-120.02778,"Near Beardsley Lake, northeast of Sonora",FALSE,Power Fire,,,Unknown,,,
1383,165407,2013,Riverside,2013-08-05,2013-08-09,Unknown,,33.62236,-117.40288,"Ortega Highway, west of Lake Elsinoire",FALSE,Falls Fire,,,Unknown,,,
60,165467,2013,Riverside,2013-08-06,2013-08-08,Unknown,,38.838,-116.61,Off of Hwy 111 & Tramway Rd in Palm Springs,FALSE,Tram Fire,,,Unknown,,,
38,165505,2013,Lake,2013-08-07,2013-08-07,Unknown,,39.1591,-122.5906,"Off Bartlett Springs Road near Indian Valley Reservoir, 10 miles northeast of Clearlake Oaks",FALSE,Indian Fire,,,Unknown,,,
20292,185797,2013,Riverside,2013-08-07,2013-08-12,Unknown,26,33.86157,-116.90427,"Poppet Flats Rd near Hwy 243, south of Banning",TRUE,Silver Fire,2106,8,40,,,20
243,186040,2013,San Bernardino,2013-08-08,2013-08-13,Unknown,,34.35,-117.62,Sheep canyon just south of Wrightwood,FALSE,Sharp Fire,,,Unknown,,,
97,186137,2013,Lassen,2013-08-09,2013-08-12,Unknown,,40.88886,-120.958126,"Southeast of Coyote Reservoir, 20 miles southeast of Bieber",FALSE,Coyote Fire,,,Unknown,,,
100,186237,2013,Los Angeles,2013-08-09,2013-08-11,Unknown,,0,0,San Francisquito Canyon Rd & Stator Ln,FALSE,Bee Fire,,,Unknown,,,
12503,198740,2013,Humboldt,2013-08-10,2013-08-12,Unknown,,41.035,-123.488,Tish Tang Ridge east of Hoopa Valley Reservation,FALSE,Corral Complex,,,Unknown,,,
27440,226180,2013,Placer,2013-08-10,2013-08-30,Unknown,,39.12,-120.65,"Deadwood Ridge, northeast of Foresthill",FALSE,American Fire,,,Unknown,,,
27,226207,2013,Shasta,2013-08-14,2013-08-14,Unknown,,40.473356,-122.48259,"Cloverdale Rd. and Dale Rd., Happy Valley, 9 miles SW of Redding",FALSE,Cloverdale Fire,,,Unknown,,,
50,226257,2013,Siskiyou,2013-08-15,2013-08-15,Unknown,,41.923323,-122.578393,"Cottonwood Creek Rd., 2 miles north of Hornbrook",FALSE,Cottonwood Fire,,,Unknown,,,
40,226297,2013,Riverside,2013-08-16,2013-08-16,Unknown,,33.570291,-116.10815,Ave 66 and Pierce Street  ,FALSE,Pierce Fire,,,Unknown,,,
116,226413,2013,El Dorado,2013-08-16,2013-08-16,Unknown,,38.682378,-120.839075,"off Koki Ln and Pleasant Valley Rd, northwest of Diamond Springs",TRUE,Union Fire,,,1,,,
2462,228875,2013,Butte,2013-08-16,2013-08-22,Unknown,5,39.446268,-121.38236,southeast of Oroville,TRUE,Swedes Fire,1484,,7,,,25
70,228945,2013,Lake,2013-08-16,2013-08-18,Unknown,,39.013682,-122.491894,"Hwy 20 and Mule Skinner Rd., Clear Lake Oaks",TRUE,Double Fire,,,Unknown,,,5
46,228991,2013,Calaveras,2013-08-17,2013-08-19,Unknown,2,38.06231,-120.45233,"Parrott's Ferry Road north of the bridge, near Vallecito & New Melones Lake ",TRUE,Bridges Fire,169,,Unknown,,,18
257314,486305,2013,Tuolumne,2013-08-17,2013-09-06,0,,37.857,-120.086,3 miles east of Groveland along Hwy 120,FALSE,Rim Fire,,,112,,,
110,486415,2013,San Bernardino,2013-08-17,2013-08-18,Unknown,,34.287,-117.451,I-15 Cajon Pass south of Cleghorn Road,FALSE,Cleghorn Fire,,,Unknown,,,
513,486928,2013,Plumas,2013-08-18,2013-08-25,Unknown,,40.00842,-120.764666,Keddie Ridge/North Arm areas of Indian Valley near Taylorsville,FALSE,Plumas Lightning Complex (Hough),,,Unknown,,,
794,487722,2013,Kern,2013-08-18,2013-08-24,Unknown,,35.707,-118.588,Lower Kern River Canyon area off Highway 178,FALSE,Shirley Fire,,,Unknown,,,
196,487918,2013,Shasta,2013-08-19,2013-08-23,Unknown,,40.5445,-121.3754,Fall River Mills and McAruther area,TRUE,Burney Lightning Series (Warner Fire),347,,Unknown,,,24
413,488331,2013,San Bernardino,2013-08-20,2013-08-20,Unknown,,34.302,-117.598,upper end of Lytle Creek,FALSE,Gobblers Fire,,,Unknown,,,
11429,499760,2013,Tehama,2013-08-23,2013-08-29,Unknown,5,40.04263,-121.85397,"Near Deer Creek, 12 miles east of Los Molinos. ",TRUE,Deer Fire,898,,Unknown,,,8
2060,501820,2013,Tulare,2013-08-24,2013-09-24,Unknown,,36.208,-118.444,Golden Trout Wilderness on the Sequoia National Forest.,FALSE,Fish Fire,,,Unknown,,,
38,501858,2013,El Dorado,2013-08-24,2013-08-24,Unknown,,38.89555,-120.84716,off Hwy 193 & Empire Creek Cir near Georgetown,FALSE,Empire Fire,,,Unknown,,,
97,501955,2013,San Bernardino,2013-08-24,2013-08-30,Unknown,,33.642,-116.706,near Thomas Mountain south of Lake Hemet on the San Jacinto Ranger District.,FALSE,Little Fire,,,Unknown,,,
52,502007,2013,Nevada,2013-08-31,2013-08-31,Unknown,,39.333401,-121.107022,"North San Juan Area, Highway 49 and Tyler Foote Road",FALSE,Tyler Fire,,,Unknown,,,
80,502087,2013,Butte,2013-08-31,2013-09-01,Unknown,1,39.731878,-121.713938,"Off Centerville Rd in the Butte Creek Canyon in the community of Centerville, west of Magalia ",TRUE,Centerville Fire,35,,Unknown,,,
97,502184,2013,Modoc,2013-09-05,2013-09-24,Unknown,,41.73325,-120.375,"Both sides of Davis Creek near Hwy 395, south of Goose Lake ",FALSE,Davis Creek Complex,,,Unknown,,,
41,502225,2013,San Mateo,2013-09-07,2013-09-07,Unknown,,37.667295,-122.427285,"Chestnut Ave and Hillside Blvd, San Bruno Mountain, South San Francisco",FALSE,Chestnut Fire,,,Unknown,,,
68,502293,2013,Modoc,2013-09-07,2013-09-05,Unknown,,41.569,-120.959,"Rail Mountain, 7 miles NW of Canby",FALSE,Rail Fire,,,Unknown,,,
134,502427,2013,Tulare,2013-09-08,2013-09-24,Unknown,,36.258,-118.459,Golden Trout Wilderness,FALSE,Angora Fire,,,Unknown,,,
3111,505538,2013,Contra Costa,2013-09-08,2013-09-14,Unknown,,37.90757,-121.882582,"off Morgan Territory Road, Southeast of Clayton",TRUE,Morgan Fire,231,,Unknown,,,4
8073,513611,2013,Shasta,2013-09-09,2013-09-15,Unknown,6,40.498332,-122.535496,"Community of Igo, 10 miles southwest of Redding",TRUE,Clover Fire,342,10,201,,,
263,513874,2013,San Diego,2013-09-09,2013-09-12,Unknown,2,32.710918,-116.746023,"Four Corners, Lyons Valley Road, east of Lyons Peak",TRUE,Lyon Fire,294,,Unknown,,176,4
73,513947,2013,San Bernardino,2013-09-11,2013-09-12,Unknown,,34.003151,-117.106075,"Live Oak Canyon Rd, South of I-10 near cities of Redlands and Yucaipa. ",FALSE,Liveoak Fire,,,Unknown,,,
75,514022,2013,Tehama,2013-09-15,2013-09-15,Unknown,,0,0,East of Molinos,FALSE,Tehama Fire,,,Unknown,,,
30,514052,2013,Lake,2013-09-15,2013-09-15,Unknown,,38.9777,-122.683,near the community of Clearlake,TRUE,Lakeshore Fire,,,Unknown,,,
268,514320,2013,Los Angeles,2013-09-23,2013-09-28,Unknown,,34.149,-117.908,San Gabriel Canyon 1/4 mile west of the entrance station,FALSE,Madre Fire,,,Unknown,,,
94,514414,2013,San Luis Obispo,2013-09-24,2013-09-24,Unknown,,35.4393,-120.8358,"off Toro Creek Rd, east of Cayucos",FALSE,Creek Fire,,,Unknown,,,
200,514614,2013,San Bernardino,2013-09-24,2013-09-30,Unknown,,34.2,-117.417,in the Cajon Pass west of I-15 near Glen Helen Road,FALSE,Sierra Fire,,,Unknown,,,
40,514654,2013,San Diego,2013-09-26,2013-09-28,Unknown,,0,0,off I-8 & Los Coches Rd near Lakeside,FALSE,Valley Fire,,,Unknown,,,
98,514752,2013,Mendocino,2013-09-28,2013-09-29,Unknown,,38.9252,-122.966,"off Highland Springs Rd, southeast of Kelseyville",FALSE,Highland Fire,,,Unknown,,,
376,515128,2013,Napa,2013-10-03,2013-10-04,Unknown,,38.628,-122.289,off Berryessa Knoxville Rd near Lake Berryessa,TRUE,Putah Fire,4,,Unknown,,,
150,515278,2013,Alameda,2013-10-04,2013-10-04,Unknown,,0,0,"Highland Road, Livermore",FALSE,Highland Fire,,,Unknown,,,
159,515437,2013,Sonoma,2013-10-04,2013-10-05,Unknown,,38.34599,-122.6503,"near Crane Creek Regional Park off Pressley Rd, east of Rohnert Park ",FALSE,Crane Fire,,,Unknown,,,
305,515742,2013,Butte,2013-10-04,2013-10-05,Unknown,,39.439,-121.497,off District Center Dr & Fortune Way in Palermo,TRUE,Summit Fire,259,,4,,,3
2236,517978,2013,San Diego,2013-10-05,2013-10-09,Unknown,,33.341,-117.3092,"On Camp Pendleton, west of Fallbrook",FALSE,DeLuz Fire,,,Unknown,,,
40,518018,2013,Orange,2013-10-06,2013-10-09,Unknown,,33.7655,-117.6649,"Off Baker Canyon Rd, Silverado Canyon area, east of Irvine",FALSE,Baker Fire,,,Unknown,,,
163,518181,2013,Yolo,2013-11-04,2013-11-04,Unknown,,38.67479,-122.08725,"Off County Road 23 & County Road 81, Southwest of Esparto",FALSE,Capay Fire,,,Unknown,,,
33,518214,2013,Shasta,2013-11-07,2013-11-07,Unknown,,40.483662,-122.140914,"Off Dersch Rd and Hyrax, Millville",FALSE,Dersch Fire,,,Unknown,,,
51,518265,2013,San Luis Obispo,2013-11-08,2013-11-09,Unknown,,35.457978,-120.751555,"Toro Creek Rd. and Hwy 41 West, Morro Bay",TRUE,Toro Fire,219,,Unknown,,,
120,518385,2013,Lake,2013-11-08,2013-11-10,Unknown,,38.882214,-122.567525,"South of Morgan Valley Rd and East of Hwy 29, Community of Lower Lake",TRUE,Cantwell Fire,285,,1,,,3
64,518449,2013,Ventura,2013-11-14,2013-11-15,Unknown,,34.384,-119.13249,"Wheeler Canyon, north of Santa Paula",FALSE,Wheeler Fire,,,Unknown,,,
190,518639,2013,Napa,2013-11-21,2013-11-23,Unknown,,38.382,-122.311,Off Silverado Trail in the Soda Canyon area near Napa,TRUE,Silverado Fire,150,,1,,,3
